1397-10-06 19:17:10.382 INFO  DefaultFactory Logging to 'C:\Courses\Craftmanship - GodOfWar\Session 21\AuctionManagement\src\Syncs.MessageDispatcher\bin\Debug\' with level Info
1397-10-06 19:38:11.978 WARN  NServiceBus.LicenseManager To extend your trial license, visit: https://particular.net/license/nservicebus?v=7.1.6&t=0&p=windows
1397-10-06 19:38:12.054 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:38:12.065 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:38:12.084 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:38:12.096 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:38:12.106 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:38:12.119 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:38:12.233 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:38:12.243 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 20:07:09.765 INFO  DefaultFactory Logging to 'C:\Courses\Craftmanship - GodOfWar\Session 21\AuctionManagement\src\Syncs.MessageDispatcher\bin\Debug\' with level Info
1397-10-06 20:07:09.932 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-11-22'.

1397-10-06 20:07:09.944 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
1397-10-06 20:07:09.954 WARN  NServiceBus.LicenseManager To extend your trial license, visit: https://particular.net/license/nservicebus?v=7.1.6&t=0&p=windows
1397-10-06 20:07:10.035 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 20:07:10.046 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 20:07:10.056 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 20:07:10.066 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 20:07:10.082 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 20:07:10.094 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 20:07:10.206 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 20:07:10.216 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
